productname,currentprice,offer_price,processor,Ram,storage,size,warranty,,,,,,,,,,
ASUS ,272990,210990,AMD Ryzen 9 Octa Core Processor,16 GB DDR5 RAM,1 TB SSD,43.94 cm (17.3 Inch) Display,1year,,,,,,,,,,
Lenov,60890,33890,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
DELL ,158310,127990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
ASUS ,135000,80930,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
DELL ,57858,42490,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Lenov,59890,37000,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
APPLE,139000,131990,Apple M2 Processor,8 GB Unified Memory RAM,512 GB SSD,34.54 cm (13.6 Inch) Display,1year,,,,,,,,,,
ASUS ,184990,122990,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
HP OM,144128,128000,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,1 TB SSD,40.89 cm (16.1 inch) Display,1year,,,,,,,,,,
Lenov,84603,52890,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
HP 15,52900,41117,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
acer ,0,150490,Intel Core i7 Processor (10th Gen),16 GB DDR4 RAM,2 TB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
MSI C,257990,210990,Intel Core i9 Processor (11th Gen),16 GB DDR4 RAM,1 TB SSD,40.64 cm (16 inch) Display,1year,,,,,,,,,,
Lenov,71990,52990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
Lenov,93690,65990,AMD Ryzen 7 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
DELL ,112802,88990,Processor: AMDR5-6600H (3.30 GHz Up to 4.50 Ghz 6 cores 16MB L3 Cache),RAM & Storage: 16GB, 2x8GB, DDR5, 4800Mhz & 512GB SSD,Software & Keyboard: Win 11 + Office H&S 2021 & Backlit Keyboard Orange,Ports: (1) HDMI 2.1, (3) SuperSpeed USB 3.2 Gen 1 Type-A, (1) USB Type C Gen 3.2 Display Port Alt-Mode, Headphone/Mic, (1) RJ45,1year,,,
DELL ,89887,78190,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,1 TB SSD,33.78 cm (13.3 inch) Display,1year,,,,,,,,,,
Lenov,59390,38699,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,49990,34990,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
DELL ,89902,70430,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
HP En,127251,109990,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 Inch) Touchscreen Display,1year,,,,,,,,,,
Lenov,76890,58490,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
HP En,127251,109990,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 Inch) Touchscreen Display,1year,,,,,,,,,,
HP Co,0,39643,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,1 TB HDD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
DELL ,95999,71990,NVIDIA RTX 3050 Graphics upto 90W TGP,15.6 inch Full HD AG Display (250 nits Brightness, 120Hz, Narrow Border),AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,1year,,,,,,,,
Lenov,75000,62990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
DELL ,57858,42490,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
GIGAB,203624,193990,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
DELL ,172971,146990,AMD Ryzen 9 Octa Core Processor,16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Lenov,61300,40000,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
DELL ,120056,105990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
HP Ce,36965,24999,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
DELL ,44427,40690,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
DELL ,50826,36890,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
ASUS ,74990,54990,AMD Ryzen 5 Hexa Core Processor (10th Gen),16 GB DDR4 RAM,512 GB SSD,40.64 cm (16 inch) Display,1year,,,,,,,,,,
ASUS ,149990,96990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
DELL ,55347,41290,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,38.0 cm (14.96 Inch) Display,1year,,,,,,,,,,
ASUS ,86990,63990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
APPLE,179900,163990,Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM,512 GB SSD,33.78 cm (13.3 inch) Display,1year,,,,,,,,,,
DELL ,68928,63090,Processor: 11th Generation Intel Core i5-1135G7 Processor (8MB Cache, up to 4.2 GHz),,Memory & Storage:8GB DDR4, 2666MHz | 512GB M.2 PCIe NVMe Solid State Drive,Graphics: Dedicated NVIDIA MX330 2GB GDDR5,Operating System & Software:Windows 10 Home Single Language | Microsoft Office Home and Student 2019,1year,,,,,,,
HP G8,40528,28490,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
HP Sp,146135,130990,Intel Core i7 Processor (12th Gen),16 GB LPDDR4X RAM,512 GB SSD,34.29 cm (13.5 inch) Display,1year,,,,,,,,,,
HP OM,144128,128000,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,1 TB SSD,40.89 cm (16.1 inch) Display,1year,,,,,,,,,,
ASUS ,395990,304990,Intel Core i9 Processor (12th Gen),32 GB DDR5 RAM,2 TB SSD,40.64 cm (16 Inch) Display,1year,,,,,,,,,,
MSI S,189990,185790,NVIDIA GeForce RTX 2060,Intel Core i7 Processor (8th Gen),64 bit Windows 10 Operating System,512 GB SSD,1year,,,,,,,,,,
HP Pa,75799,64990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
HP Vi,93019,77990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
Lenov,58680,38890,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,114990,92990,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
Lenov,60890,33890,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
GIGAB,203624,193990,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
Lenov,159290,105990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
HP G8,40528,28490,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Lenov,59890,37000,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
DELL ,98833,78061,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,1year,,,,,,,,,,
Lenov,130090,98246,AMD Ryzen 7 Octa Core Processor (5th Gen),16 GB DDR4 RAM,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,1year,,,,,,,,,,
acer ,0,129999,Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features),Dual Fan Cooling with Metal AeroBlade 3D,Upgradable SSD Upto 512 GB and RAM Upto 32 GB,NVIDIA Geforce GTX 1050Ti for Desktop Level Performance,1year,,,,,,,,
Lenov,84603,52890,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
MSI S,189990,185790,NVIDIA GeForce RTX 2060,Intel Core i7 Processor (8th Gen),64 bit Windows 10 Operating System,512 GB SSD,1year,,,,,,,,,,
ASUS ,195990,162990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
Lenov,56800,37890,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Lenov,71990,52990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
DELL ,55347,41290,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,38.0 cm (14.96 Inch) Display,1year,,,,,,,,,,
Lenov,95090,71990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
DELL ,50132,38690,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Lenov,59390,38699,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
Lenov,132890,87850,Intel Core i7 Processor (10th Gen),8 GB LPDDR4X RAM,512 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
MSI C,145990,119990,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,1 TB SSD,40.64 cm (16 inch) Display,1year,,,,,,,,,,
HP OM,183736,160990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
Lenov,76890,58490,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
ASUS ,0,146490,Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features),Intel Core i7 Processor (7th Gen),64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,1year,,,,,,,,
acer ,119999,100500,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,172990,154990,Intel Core i7 Processor (10th Gen),16 GB LPDDR3 RAM,1 TB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Lenov,75000,62990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
ASUS ,52990,35990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
DELL ,46156,45990,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
Lenov,53790,35990,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
Lenov,61300,40000,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
DELL ,68142,67190,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Lenov,49096,37490,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,256 GB SSD,38.1 cm (15 inch) Display,1year,,,,,,,,,,
ASUS ,77990,69290,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
DELL ,50826,36890,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Infin,59999,37990,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
Lenov,103490,72490,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
DELL ,114382,88490,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,40.64 cm (16 inch) Touchscreen Display,1year,,,,,,,,,,
ASUS ,195990,162990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
DELL ,60837,42790,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Avita,29990,16990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,128 GB SSD,35.81 cm (14.1 Inch) Display,1year,,,,,,,,,,
HP La,48419,42990,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
DELL ,56573,42690,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,256 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
DELL ,139104,116190,Intel Core i7 Processor (8th Gen),16 GB DDR3 RAM,512 GB SSD,33.78 cm (13.3 inch) Display,1year,,,,,,,,,,
DELL ,43000,35500,Intel Pentium Quad Core Processor,4 GB DDR4 RAM,256 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
HP Pa,99533,85490,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
Lenov,49999,40200,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
DELL ,55444,40690,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,175990,115990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Lenov,83890,61300,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,1year,,,,,,,,,,
Lenov,75000,62990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
ASUS ,80990,71999,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
acer ,36990,28490,Intel Pentium Silver Processor,8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
HP HP,76020,66990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
Lenov,61300,40000,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
APPLE,0,249900,Apple M2 Pro Processor,16 GB Unified Memory RAM,512 GB SSD,40.64 cm (16 Inch) Display,1year,,,,,,,,,,
ASUS ,98990,79990,Intel Core i5 Processor (10th Gen),8 GB LPDDR3 RAM,512 GB SSD,33.78 cm (13.3 inch) Display,1year,,,,,,,,,,
Lenov,186090,131990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
DELL ,50826,36890,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
HP Vi,140347,107990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD,40.89 cm (16.1 inch) Display,1year,,,,,,,,,,
ASUS ,195990,162990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
HP OM,189577,170990,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,1 TB SSD,40.89 cm (16.1 inch) Display,1year,,,,,,,,,,
HP OM,189900,170990,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,1 TB SSD,40.89 cm (16.1 inch) Display,1year,,,,,,,,,,
MSI P,123990,108790,Pre-installed Genuine Windows 10 Home OS,Intel Core i7 Processor (11th Gen),64 bit Windows 10 Operating System,512 GB SSD,1year,,,,,,,,,,
Lenov,89490,76990,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
acer ,0,115999,Intel Core i7 Processor (12th Gen),16 GB LPDDR5 RAM,1 TB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
ASUS ,177990,147990,AMD Ryzen 7 Octa Core Processor,16 GB LPDDR5 RAM,1 TB SSD,34.04 cm (13.4 Inch) Touchscreen Display,1year,,,,,,,,,,
ASUS ,116990,84990,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
Lenov,268690,189990,AMD Ryzen 7 Octa Core Processor,32 GB DDR5 RAM,1 TB SSD,40.64 cm (16 Inch) Display,1year,,,,,,,,,,
DELL ,54723,44190,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,256 GB SSD,38.0 cm (14.96 cm) Display,1year,,,,,,,,,,
DELL ,50999,45346,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
DELL ,43000,35500,Intel Pentium Quad Core Processor,4 GB DDR4 RAM,256 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
HP Pa,99533,85490,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
ASUS ,141990,109990,Intel Core i5 Processor (10th Gen),8 GB LPDDR3 RAM,512 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Lenov,75000,62990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Lenov,49999,40200,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
ASUS ,62990,47990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Lenov,83890,61300,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,1year,,,,,,,,,,
Lenov,61300,40000,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
ASUS ,80990,71999,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
acer ,36990,28490,Intel Pentium Silver Processor,8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
HP Ry,121355,99850,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,512 GB SSD,40.89 cm (16.1 Inch) Display,1year,,,,,,,,,,
DELL ,50826,36890,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
DELL ,55444,40690,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,175990,115990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
HP HP,76020,66990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,98990,79990,Intel Core i5 Processor (10th Gen),8 GB LPDDR3 RAM,512 GB SSD,33.78 cm (13.3 inch) Display,1year,,,,,,,,,,
APPLE,0,249900,Apple M2 Pro Processor,16 GB Unified Memory RAM,512 GB SSD,40.64 cm (16 Inch) Display,1year,,,,,,,,,,
Lenov,186090,131990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
MSI P,123990,108790,Pre-installed Genuine Windows 10 Home OS,Intel Core i7 Processor (11th Gen),64 bit Windows 10 Operating System,512 GB SSD,1year,,,,,,,,,,
HP Vi,140347,107990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,1 TB SSD,40.89 cm (16.1 inch) Display,1year,,,,,,,,,,
ASUS ,195990,162990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,107990,76990,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,1 TB SSD,43.94 cm (17.3 Inch) Display,1year,,,,,,,,,,
HP OM,189577,170990,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,1 TB SSD,40.89 cm (16.1 inch) Display,1year,,,,,,,,,,
HP OM,189900,170990,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,1 TB SSD,40.89 cm (16.1 inch) Display,1year,,,,,,,,,,
acer ,0,115999,Intel Core i7 Processor (12th Gen),16 GB LPDDR5 RAM,1 TB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
ASUS ,177990,147990,AMD Ryzen 7 Octa Core Processor,16 GB LPDDR5 RAM,1 TB SSD,34.04 cm (13.4 Inch) Touchscreen Display,1year,,,,,,,,,,
ASUS ,116990,84990,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
Lenov,75000,62990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Lenov,268690,189990,AMD Ryzen 7 Octa Core Processor,32 GB DDR5 RAM,1 TB SSD,40.64 cm (16 Inch) Display,1year,,,,,,,,,,
MSI P,123990,108790,Pre-installed Genuine Windows 10 Home OS,Intel Core i7 Processor (11th Gen),64 bit Windows 10 Operating System,512 GB SSD,1year,,,,,,,,,,
DELL ,54723,44190,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,256 GB SSD,38.0 cm (14.96 cm) Display,1year,,,,,,,,,,
Lenov,61300,40000,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
acer ,42999,27990,AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
DELL ,50999,45346,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,140990,79990,Intel Core i5 Processor (11th Gen),16 GB LPDDR4X RAM,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,1year,,,,,,,,,,
DELL ,50826,36890,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
HP Om,0,102551,Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features),Intel Core i5 Processor (7th Gen),64 bit Windows 10 Operating System,1 TB HDD|128 GB SSD,1year,,,,,,,,
ASUS ,122990,89990,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,1year,,,,,,,,,,
HP Ch,25451,22490,MediaTek MediaTek Kompanio 500 Processor,4 GB LPDDR4X RAM,29.46 cm (11.6 inch) Touchscreen Display,1 Year Onsite Warranty,1year,,,,,,,,,,
Nokia,82990,40990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Lenov,51544,38990,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,256 GB SSD,38.1 cm (15 inch) Display,1year,,,,,,,,,,
ASUS ,30990,22990,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,39.62 cm (15.6 inch) Touchscreen Display,1 Year Onsite Warranty,1year,,,,,,,,,,
Lenov,272890,192990,Intel Core i7 Processor (11th Gen),32 GB DDR4 RAM,1 TB SSD,40.64 cm (16 Inch) Display,1year,,,,,,,,,,
DELL ,110888,87500,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,40.64 cm (16 Inch) Touchscreen Display,1year,,,,,,,,,,
HP 14,48933,39990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
ASUS ,62990,47990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Vaio ,76090,57990,AMD Ryzen 7 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
HP Vi,0,84198,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,40.89 cm (16.1 Inch) Display,1year,,,,,,,,,,
